experiment,variant,status,chapters_scored,chapter_count,missing_count,actual_rate_mean,combined_score,mcq_accuracy,open_llm_score_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate,generation_errors,total_items
omission,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.93048128342246,0.9787234042553191,0.8817204301075269,,,,0,187
omission,5%,missing,,0,8,,,,,,,,,
omission,10%,complete,"1,2,3,4,5,6,7,8",8,0,0.10248647802621208,0.8181818181818182,0.8617021276595744,0.7741935483870968,,,,0,187
omission,15%,missing,,0,8,,,,,,,,,
omission,20%,complete,"1,2,3,4,5,6,7,8",8,0,0.2040613669029683,0.7941176470588235,0.8617021276595744,0.7258064516129032,,,,0,187
omission,30%,complete,"1,2,3,4,5,6,7,8",8,0,0.3045994380741423,0.7085561497326203,0.7978723404255319,0.6182795698924731,,,,0,187
mistranslation,0%,missing,,0,8,,,,,,,,,
mistranslation,5%,missing,,0,8,,,,,,,,,
mistranslation,10%,missing,,0,8,,,,,,,,,
mistranslation,15%,missing,,0,8,,,,,,,,,
mistranslation,20%,complete,"1,2,3,4,5,6,7,8",8,0,0.200102943827022,0.8021390374331551,0.8936170212765957,0.7096774193548387,,,,0,187
mistranslation,30%,missing,,0,8,,,,,,,,,
grammar,0%,missing,,0,8,,,,,,,,,
grammar,5%,missing,,0,8,,,,,,,,,
grammar,10%,missing,,0,8,,,,,,,,,
grammar,15%,missing,,0,8,,,,,,,,,
grammar,20%,missing,,0,8,,,,,,,,,
grammar,30%,complete,"1,2,3,4,5,6,7,8",8,0,0.303643922689848,0.8877005347593583,0.9361702127659575,0.8387096774193549,,,,0,187
